Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Программист,ООО Паритет,от 80 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103624404?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО СКАД тех,90 000 – 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104957102?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-программист,uniSiter,50 000 – 70 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104652007?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Исследователь-программист (стажер),АО ИнфоТеКС,Not specified,https://tomsk.hh.ru/vacancy/103892676?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист .NET/ С#,Тиматикал,2 500 – 4 000 $ до вычета налогов,https://tomsk.hh.ru/vacancy/103639330?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ОГУП Областной аптечный склад,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105082477?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,Evaxsoft,80 000 – 140 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104433545?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,Интант,от 35 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104686034?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО МАГ Девелопмент,от 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104528299?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Счетная палата Города Томска,от 40 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104634654?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий Web-программист,Гос. корп. Центр разработки и внедрения,от 40 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/104684462?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ИЦ КонсультантЪ,Not specified,https://tomsk.hh.ru/vacancy/93180931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ОГАУЗ Светленская РБ,30 000 – 30 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104886437?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Фабрика Мебельных Фасадов «Ирбис»,от 120 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/95874190?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Головное подразделение Сибагро,80 000 – 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/101797050?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Головное подразделение Сибагро,80 000 – 120 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/101797066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Лидерпак,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104532475?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист в отдел разработки,"ЛАМА, Группа компаний",Not specified,https://tomsk.hh.ru/vacancy/94725832?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Томская электронная компания , ООО НПП",50 000 – 110 000 ₽ на руки,https://tomsk.hh.ru/vacancy/83312825?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист C#,Центр финансовых технологий,Not specified,https://tomsk.hh.ru/vacancy/104792774?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Encore,Not specified,https://tomsk.hh.ru/vacancy/96528134?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1C (Стажер),Центр финансовых технологий,Not specified,https://tomsk.hh.ru/vacancy/104786171?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО СИНЕКТА,Not specified,https://tomsk.hh.ru/vacancy/103881503?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Инженер-программист),СибГМУ,120 000 – 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/83379924?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Сеть магазинов Постелька,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99240127?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Головное подразделение Сибагро,138 000 – 175 000 ₽ на руки,https://tomsk.hh.ru/vacancy/92129406?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"ЛАМА, Группа компаний",Not specified,https://tomsk.hh.ru/vacancy/95434837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer (.NET),TravelLine,до 300 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104729368?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++,Элекард,до 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98423839?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Национальный исследовательский Томский политехнический университет,150 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/97100558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Томский инструментальный завод,до 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99234664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
